-450.714,648.003,-26.1766
901,-9.98962,83.8643,2.13411
902,-1.49056,55.22,0.751087
904,-1.59637,10.5733,-0.835479
905,-23.0476,140.385,4.428
906,-5.38701,75.5172,1.47548
910,-4.50232,32.7613,8.9029
911,-6.35913,50.0823,-1.05943
913,-8.64583,50.0214,-0.759504
914,-3.67581,49.7442,-1.34067
917,-9.69637,84.1692,0.18439
918,-1.88302,8.76471,-1.33941
919,-1.44299,8.73432,-1.09952
920,-22.5138,140.483,1.11752
921,-4.04778,56.4817,-0.196073
922,-1.88298,8.78382,-0.929366
923,-1.013,8.88383,-0.80925
924,-9.80649,85.2648,2.16677
925,-1.267,54.3405,0.738985
927,-1.54353,10.5737,-0.835538
928,-22.5235,140.526,4.42762
935,-6.15585,49.9829,-1.05987
937,-3.51589,50.0043,-1.34013
940,-9.41638,84.2092,0.184444
941,-1.0774,55.1633,-0.519263
942,-1.86303,8.77473,-1.34939
943,-1.41299,8.73433,-1.09953
944,-22.0339,140.603,1.11772
945,-3.83774,56.3717,-0.196335
946,-1.86298,8.77383,-0.92939
947,-0.993008,8.90384,-0.809209
948,-9.25572,82.7652,2.10131
949,-1.07693,54.1106,0.738466
950,-1.51353,10.5737,-0.835542
951,-22.0335,140.596,4.42772
952,-3.84761,56.419,1.09377
959,-5.96583,49.9329,-1.05
961,-8.27578,49.8616,-0.769891
964,-9.62808,89.6592,0.196242
965,-0.90782,56.4934,-0.526409
966,-1.82303,8.77475,-1.34939
967,-1.38299,8.74434,-1.09951
968,-21.5439,140.614,1.11769
969,-1.82298,8.78384,-0.929373
970,-0.973011,8.91384,-0.80919
971,-9.07607,83.9251,2.1338
972,-0.906957,54.1906,0.73862
974,-1.47353,10.5737,-0.835546
975,-21.5235,140.556,4.42757
976,-3.64761,56.429,1.09377
983,-5.80584,49.943,-1.05
985,-8.08578,49.8616,-0.769913
989,-8.84652,84.6394,0.185308
990,-0.717826,56.5134,-0.526387
991,-1.78303,8.78478,-1.35938
992,-1.35299,8.74435,-1.09951
993,-21.0339,140.654,1.11772
994,-3.44777,56.4419,-0.196228
995,-1.78298,8.77385,-0.929399
996,-8.62556,82.2754,2.09018
997,-0.726957,54.1907,0.738599
999,-1.43353,10.5838,-0.835529
1000,-21.0335,140.637,4.42769
1001,-3.44761,56.4191,1.09373
1004,-4.30344,75.8942,3.2459
1008,-5.56565,49.353,-1.0413
1010,-7.95584,50.0617,-0.769496
1014,-8.56646,84.4495,0.184866
1015,-0.527826,56.5135,-0.526409
1016,-1.76305,8.82479,-1.35929
1017,-1.33299,8.75436,-1.09949
1018,-20.5739,140.594,1.11754
1019,-3.27777,56.4519,-0.196226
1020,-1.77298,8.78385,-0.929379
1021,-8.42572,82.7854,2.10126
1022,-0.527684,56.5307,0.763631
1024,-1.41353,10.5838,-0.835532
1025,-20.5935,140.607,4.42757
